Pick,L1_Value,L2_Value,Jimmy_Johnson
110,1235.92,1519.97,76
111,1221.44,1497.51,74
112,1207.08,1475.1,72
113,1192.82,1452.76,70
114,1178.68,1430.48,68
115,1164.66,1408.28,66
116,1150.74,1386.17,64
117,1136.94,1364.14,62
118,1123.25,1342.21,60
119,1109.68,1320.37,58
120,1096.21,1298.65,56
121,1082.87,1277.03,54
122,1069.63,1255.53,52
123,1056.51,1234.16,50
124,1043.51,1212.91,49
125,1030.62,1191.8,48
126,1017.84,1170.82,47
127,1005.17,1149.99,46
128,992.62,1129.31,45
129,980.18,1108.78,44
130,967.86,1088.41,43
131,955.65,1068.2,42
132,943.55,1048.16,41
133,931.56,1028.29,40
134,919.69,1008.6,39.5
135,907.93,989.08,39
136,896.28,969.75,38.5
137,884.74,950.6,38
138,873.32,931.64,37.5
139,862.0,912.88,37
140,850.8,894.31,36.5
141,839.71,875.94,36
142,828.72,857.77,35.5
143,817.85,839.81,35
144,807.08,822.05,34.5
145,796.43,804.51,34
146,785.88,787.17,33.5
147,775.44,770.05,33
148,765.11,753.15,32.6
149,754.88,736.46,32.3
150,744.77,720.0,31.8
151,734.75,703.75,31.4
152,724.84,687.73,31
153,715.04,671.93,30.6
154,705.34,656.35,30.2
155,695.75,641.0,29.8
156,686.26,625.88,29.4
157,676.87,610.98,29
158,667.58,596.31,28.6
159,658.4,581.87,28.2
160,649.32,567.66,27.8
161,640.33,553.68,27.4
162,631.45,539.92,27
163,622.66,526.4,26.6
164,613.98,513.1,26.2
165,605.39,500.03,25.8
166,596.9,487.18,25.4
167,588.51,474.57,25
168,580.21,462.18,24.6
169,572.0,450.01,24.2
170,563.9,438.07,23.8
171,555.88,426.35,23.4
172,547.96,414.86,23
173,540.13,403.58,22.6
174,532.4,392.53,22.2
175,524.75,381.69,21.8
176,517.2,371.08,21.4
177,509.73,360.67,21
178,502.36,350.48,20.6
179,495.07,340.5,19.8
180,487.87,330.74,19.4
181,480.76,321.18,19
182,473.74,311.82,18.6
183,466.8,302.67,18.2
184,459.94,293.73,17.8
185,453.17,284.98,17.4
186,446.49,276.43,17
187,439.88,268.08,16.6
188,433.36,259.92,16.2
189,426.92,251.95,15.8
190,420.56,244.17,15.4
191,414.28,236.58,15
192,408.08,229.17,14.6
193,401.96,221.94,14.2
194,395.92,214.89,13.8
195,389.95,208.01,13.4
196,384.06,201.31,13
197,378.25,194.78,12.6
198,372.51,188.42,12.2
199,366.85,182.22,11.8
200,361.25,176.19,11.4
201,355.74,170.32,11
202,350.29,164.6,10.6
203,344.92,159.04,10.2
204,339.61,153.63,9.8
205,334.38,148.37,9.4
206,329.22,143.26,9
207,324.12,138.29,8.6
208,319.1,133.46,8.2
209,314.14,128.77,7.8
210,309.25,124.21,7.4
211,304.42,119.79,7
212,299.66,115.49,6.6
213,294.96,111.33,6.2
214,290.33,107.29,5.8
215,285.76,103.37,5.4
216,281.25,99.57,5
217,276.81,95.89,4.6
218,272.42,92.32,4.2
219,268.1,88.86,3.8
220,263.84,85.51,3
221,259.63,82.27,2.6
222,255.49,79.13,2.3
223,251.4,76.09,2
224,247.37,73.16,1.8
225,243.4,70.31,1.6
226,239.48,67.57,1.4
227,235.62,64.91,1.2
228,231.82,62.34,1
229,228.06,59.86,1
230,224.37,57.47,1
231,220.72,55.15,1
232,217.13,52.92,1
233,213.58,50.76,1
234,210.09,48.69,1
235,206.65,46.68,1
236,203.26,44.75,1
237,199.92,42.88,1
238,196.63,41.08,1
239,193.39,39.35,1
240,190.19,37.68,1
241,187.04,36.08,1
242,183.94,34.53,1
243,180.88,33.04,1
244,177.87,31.61,1
245,174.9,30.23,1
246,171.98,28.91,1
247,169.1,27.63,1
248,166.27,26.41,1
249,163.47,25.23,1
250,160.72,24.1,1
251,158.01,23.02,1
252,155.34,21.97,1
253,152.72,20.97,1
254,150.13,20.01,1
255,147.58,19.09,1
256,145.07,18.21,1
257,142.6,17.36,1
